category,threshold_min,n_cells_with_access,pct_cells_with_access,required
A_food_groceries,5,1527,6.84,True
B_healthcare,5,1712,7.67,True
C_education,5,1765,7.91,True
D_daily_services,5,1241,5.56,False
E_retail_shopping,5,2029,9.09,False
F_leisure_social,5,3670,16.44,False
G_green_recreation,5,2141,9.59,False
H_public_transport_access,5,2041,9.14,False
A_food_groceries,10,2965,13.28,True
B_healthcare,10,3201,14.34,True
C_education,10,3417,15.31,True
D_daily_services,10,2450,10.98,False
E_retail_shopping,10,3775,16.91,False
F_leisure_social,10,5949,26.65,False
G_green_recreation,10,3866,17.32,False
H_public_transport_access,10,3666,16.42,False
A_food_groceries,15,4145,18.57,True
B_healthcare,15,4222,18.91,True
C_education,15,4580,20.52,True
D_daily_services,15,3384,15.16,False
E_retail_shopping,15,5179,23.2,False
F_leisure_social,15,7725,34.61,False
G_green_recreation,15,4991,22.36,False
H_public_transport_access,15,4811,21.55,False
