district,n_cells,population_total,population_with_everyday_needs_gap,dominant_everyday_gap_type,population_everyday_gap_closed_by_cycling,population_transit_access_gap,population_transit_gap_closed_by_cycling,transit_data_quality_class
Adalar,72,16033.0,0.0,NONE,0.0,0.0,0.0,USABLE_WITH_LIMITATION
Arnavutköy,1951,297771.1,195925.9,ALL_REQUIRED_GAP,58719.9,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Ataşehir,99,421284.4,15405.4,ALL_REQUIRED_GAP,12531.7,7020.4,1214.7,GOOD_COVERAGE
Avcılar,205,441698.1,98473.7,ALL_REQUIRED_GAP,98310.0,311636.3,175089.5,GOOD_COVERAGE
Bahçelievler,68,584595.1,44758.0,FOOD_GAP,44758.0,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Bakırköy,127,224480.4,52253.5,ALL_REQUIRED_GAP,32403.5,15711.3,0.0,USABLE_WITH_LIMITATION
Bayrampaşa,38,277259.7,24217.7,ALL_REQUIRED_GAP,24217.7,0.0,0.0,USABLE_WITH_LIMITATION
Bağcılar,91,758597.4,56016.4,EDUCATION_GAP,56016.4,18469.2,0.0,GOOD_COVERAGE
Başakşehir,428,465027.7,237879.1,ALL_REQUIRED_GAP,226618.4,78475.4,2203.4,GOOD_COVERAGE
Beykoz,1281,248142.3,114365.4,ALL_REQUIRED_GAP,71149.8,240872.8,31359.5,GOOD_COVERAGE
Beylikdüzü,171,366702.5,86791.7,ALL_REQUIRED_GAP,65557.3,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Beyoğlu,41,226705.7,21783.2,FOOD_GAP,21783.2,0.0,0.0,GOOD_COVERAGE
Beşiktaş,77,172861.6,17506.7,FOOD_HEALTHCARE_GAP,17506.7,1084.6,0.0,GOOD_COVERAGE
Büyükçekmece,664,252071.2,153230.2,ALL_REQUIRED_GAP,112743.7,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Esenler,72,444821.9,63689.5,ALL_REQUIRED_GAP,63689.5,6015.8,0.0,USABLE_WITH_LIMITATION
Esenyurt,174,944658.0,212381.4,FOOD_GAP,212381.4,19085.0,2428.6,GOOD_COVERAGE
Eyüpsultan,940,418816.1,125288.5,ALL_REQUIRED_GAP,72159.3,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Fatih,78,392297.2,5396.0,ALL_REQUIRED_GAP,5058.2,832.7,0.0,GOOD_COVERAGE
Gaziosmanpaşa,46,473543.3,16521.9,FOOD_GAP,16521.9,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Güngören,27,282044.0,8093.1,ALL_REQUIRED_GAP,8093.1,0.0,0.0,USABLE_WITH_LIMITATION
Kadıköy,111,477439.0,6259.4,ALL_REQUIRED_GAP,6259.4,0.0,0.0,GOOD_COVERAGE
Kartal,161,479044.1,28190.3,ALL_REQUIRED_GAP,23715.3,13374.8,844.2,GOOD_COVERAGE
Kâğıthane,58,441321.6,19630.9,ALL_REQUIRED_GAP,19630.9,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Küçükçekmece,176,790814.5,120337.6,ALL_REQUIRED_GAP,103811.3,47417.2,0.0,GOOD_COVERAGE
Maltepe,220,512170.4,63012.1,ALL_REQUIRED_GAP,60141.1,37901.2,6619.3,GOOD_COVERAGE
Pendik,783,721937.5,95086.3,ALL_REQUIRED_GAP,63004.3,298236.2,20569.9,GOOD_COVERAGE
Sancaktepe,260,455489.0,59983.7,ALL_REQUIRED_GAP,56250.2,139548.5,11357.2,GOOD_COVERAGE
Sarıyer,738,338812.0,118415.2,ALL_REQUIRED_GAP,103034.9,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Silivri,3491,200313.5,139439.3,ALL_REQUIRED_GAP,74099.1,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,NO_FEED_COVERAGE
Sultanbeyli,116,344361.6,3032.9,HEALTHCARE_GAP,3032.9,281019.1,1680.3,GOOD_COVERAGE
Sultangazi,145,540412.2,72144.0,ALL_REQUIRED_GAP,59556.2,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Tuzla,534,274208.5,108699.7,ALL_REQUIRED_GAP,80603.0,114256.1,19062.2,GOOD_COVERAGE
Zeytinburnu,50,284454.0,1975.0,EDUCATION_GAP,1975.0,0.0,0.0,USABLE_WITH_LIMITATION
Çatalca,4612,74830.5,48312.9,ALL_REQUIRED_GAP,11978.3,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,NO_FEED_COVERAGE
Çekmeköy,607,275559.7,95033.9,ALL_REQUIRED_GAP,64411.1,108918.1,19215.9,GOOD_COVERAGE
Ümraniye,182,709856.7,102931.5,ALL_REQUIRED_GAP,99018.3,22389.8,2829.7,GOOD_COVERAGE
Üsküdar,148,525419.9,30871.4,HEALTHCARE_GAP,30871.4,62135.2,46895.9,GOOD_COVERAGE
Şile,3237,37885.9,29591.3,ALL_REQUIRED_GAP,13865.0,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,INSUFFICIENT_TRANSIT_DATA_FOR_INTERPRETATION,SUSPECT_FEED_COVERAGE
Şişli,43,261824.5,0.0,NONE,0.0,0.0,0.0,GOOD_COVERAGE
