metric,threshold_min,walking_pct_cells,cycling_pct_cells,diff_pct_cells,walking_pct_population,cycling_pct_population,diff_pct_population
FOOD,5,6.84,18.1,11.26,43.94,84.22,40.28
HEALTHCARE,5,7.67,18.48,10.81,52.72,88.24,35.52
EDUCATION,5,7.91,20.11,12.2,51.18,89.22,38.04
COMPLETE_ACCESS,5,3.57,14.15,10.58,27.39,80.66,53.27
FOOD,10,13.28,30.57,17.29,72.82,94.44,21.62
HEALTHCARE,10,14.34,29.43,15.09,80.45,95.06,14.61
EDUCATION,10,15.31,33.09,17.78,81.97,95.69,13.72
COMPLETE_ACCESS,10,9.84,23.47,13.63,65.5,93.32,27.82
FOOD,15,18.57,41.85,23.28,85.71,96.23,10.52
HEALTHCARE,15,18.91,39.37,20.46,89.32,96.64,7.32
EDUCATION,15,20.52,44.84,24.32,90.26,97.1,6.84
COMPLETE_ACCESS,15,14.64,31.91,17.27,82.49,95.57,13.08
