component_id,n_nodes,n_edges,total_length_km,n_anchored_grid_cells,calibrated_population,n_districts,districts,bbox_extent_km2,node_rank,component_class
0,755287,1659688,50941.28,14382,9852440.4,25,"Arnavutköy,Avcılar,Bahçelievler,Bakırköy,Bayrampaşa,Bağcılar,Başakşehir,Beylikdüzü,Beyoğlu,Beşiktaş,Büyükçekmece,Esenler,Esenyurt,Eyüpsultan,Fatih,Gaziosmanpaşa,Güngören,Kâğıthane,Küçükçekmece,Sarıyer,Silivri,Sultangazi,Zeytinburnu,Çatalca,Şişli",6582.47,1,MAJOR_VALID_COMPONENT
1,468231,1028940,29942.28,7752,5421231.4,14,"Adalar,Ataşehir,Beykoz,Kadıköy,Kartal,Maltepe,Pendik,Sancaktepe,Sultanbeyli,Tuzla,Çekmeköy,Ümraniye,Üsküdar,Şile",3882.5,2,MAJOR_VALID_COMPONENT
220,517,1068,17.08,2,473.7,1,Büyükçekmece,0.75,3,SMALL_LOCAL_COMPONENT
125,281,600,24.17,6,1918.2,1,Tuzla,2.02,4,SMALL_LOCAL_COMPONENT
419,241,518,8.88,1,11.8,1,Çatalca,0.25,5,SMALL_LOCAL_COMPONENT
226,216,438,7.11,0,0.0,0,,,6,QUESTIONABLE_FRAGMENT
414,204,452,9.0,2,4.3,1,Çatalca,0.5,7,SMALL_LOCAL_COMPONENT
20,202,404,12.03,6,2013.9,1,Sarıyer,1.5,8,SMALL_LOCAL_COMPONENT
558,182,362,13.15,2,832.7,1,Fatih,0.18,9,SMALL_LOCAL_COMPONENT
473,169,346,3.3,1,729.8,1,Tuzla,0.25,10,SMALL_LOCAL_COMPONENT
229,140,280,3.17,0,0.0,0,,,11,QUESTIONABLE_FRAGMENT
559,139,278,2.17,1,4672.2,1,Sultanbeyli,0.25,12,SMALL_LOCAL_COMPONENT
109,127,262,9.07,2,1870.6,1,Silivri,1.0,13,SMALL_LOCAL_COMPONENT
41,123,244,2.78,2,2556.4,1,Başakşehir,0.5,14,SMALL_LOCAL_COMPONENT
348,118,290,10.61,2,0.0,1,Tuzla,0.29,15,QUESTIONABLE_FRAGMENT
613,111,226,3.73,1,13.3,1,Arnavutköy,0.25,16,SMALL_LOCAL_COMPONENT
221,110,224,3.09,1,858.4,1,Büyükçekmece,0.25,17,SMALL_LOCAL_COMPONENT
316,108,216,5.97,3,0.0,1,Sarıyer,1.0,18,QUESTIONABLE_FRAGMENT
449,108,216,1.55,1,2532.4,1,Pendik,0.19,19,SMALL_LOCAL_COMPONENT
376,102,214,1.73,0,0.0,0,,,20,QUESTIONABLE_FRAGMENT
430,101,248,9.78,1,0.0,1,Tuzla,0.25,21,QUESTIONABLE_FRAGMENT
432,97,194,2.23,1,329.9,1,Arnavutköy,0.25,22,SMALL_LOCAL_COMPONENT
59,93,184,0.76,1,3906.9,1,Zeytinburnu,0.25,23,SMALL_LOCAL_COMPONENT
418,90,186,5.64,2,1374.5,1,Eyüpsultan,0.5,24,SMALL_LOCAL_COMPONENT
691,88,178,2.03,1,209.3,1,Pendik,0.25,25,SMALL_LOCAL_COMPONENT
497,86,206,8.32,1,0.0,1,Arnavutköy,0.25,26,QUESTIONABLE_FRAGMENT
363,85,192,6.98,1,0.0,1,Çekmeköy,0.25,27,QUESTIONABLE_FRAGMENT
380,84,168,0.59,0,0.0,0,,,28,QUESTIONABLE_FRAGMENT
666,84,166,1.67,1,583.6,1,Bakırköy,0.25,29,SMALL_LOCAL_COMPONENT
410,82,186,7.59,2,13.1,1,Eyüpsultan,0.5,30,SMALL_LOCAL_COMPONENT
514,82,162,2.46,1,437.0,1,Tuzla,0.25,31,SMALL_LOCAL_COMPONENT
37,80,158,3.72,4,1430.0,1,Pendik,2.25,32,SMALL_LOCAL_COMPONENT
496,79,206,8.01,2,0.0,1,Arnavutköy,0.5,33,QUESTIONABLE_FRAGMENT
88,77,152,1.15,0,0.0,0,,,34,QUESTIONABLE_FRAGMENT
362,77,166,6.36,1,0.0,1,Çekmeköy,0.25,35,QUESTIONABLE_FRAGMENT
270,75,158,0.94,0,0.0,0,,,36,QUESTIONABLE_FRAGMENT
683,73,146,2.12,0,0.0,0,,,37,QUESTIONABLE_FRAGMENT
51,71,140,2.68,2,748.2,1,Arnavutköy,0.5,38,SMALL_LOCAL_COMPONENT
685,71,146,2.61,1,324.9,1,Büyükçekmece,0.25,39,SMALL_LOCAL_COMPONENT
3,71,142,4.13,1,3913.2,1,Ümraniye,0.25,40,SMALL_LOCAL_COMPONENT
230,70,138,2.53,0,0.0,0,,,41,QUESTIONABLE_FRAGMENT
300,67,186,1.25,0,0.0,0,,,42,QUESTIONABLE_FRAGMENT
501,65,130,1.25,0,0.0,0,,,43,QUESTIONABLE_FRAGMENT
185,64,130,0.55,0,0.0,0,,,44,QUESTIONABLE_FRAGMENT
42,64,126,1.66,0,0.0,0,,,45,QUESTIONABLE_FRAGMENT
664,59,122,0.65,0,0.0,0,,,46,QUESTIONABLE_FRAGMENT
45,58,116,0.47,0,0.0,0,,,47,QUESTIONABLE_FRAGMENT
490,58,116,1.31,0,0.0,0,,,48,QUESTIONABLE_FRAGMENT
111,57,116,4.16,0,0.0,0,,,49,QUESTIONABLE_FRAGMENT
403,56,118,4.02,1,1752.5,1,Beylikdüzü,0.25,50,SMALL_LOCAL_COMPONENT
545,56,110,1.76,0,0.0,0,,,51,QUESTIONABLE_FRAGMENT
170,55,110,1.79,0,0.0,0,,,52,QUESTIONABLE_FRAGMENT
529,55,110,1.42,1,7566.9,1,Bayrampaşa,0.25,53,LARGE_LOCAL_VALID_COMPONENT
479,54,106,0.85,0,0.0,0,,,54,QUESTIONABLE_FRAGMENT
17,54,110,1.44,0,0.0,0,,,55,QUESTIONABLE_FRAGMENT
669,53,134,3.44,1,664.5,1,Bakırköy,0.25,56,SMALL_LOCAL_COMPONENT
341,52,102,4.22,7,418.5,1,Başakşehir,3.0,57,SMALL_LOCAL_COMPONENT
561,52,104,1.13,1,1126.8,1,Arnavutköy,0.25,58,SMALL_LOCAL_COMPONENT
239,52,104,1.21,1,0.0,1,Sarıyer,0.06,59,QUESTIONABLE_FRAGMENT
164,51,116,3.83,1,2872.4,1,Sancaktepe,0.25,60,SMALL_LOCAL_COMPONENT
405,51,102,1.95,0,0.0,0,,,61,QUESTIONABLE_FRAGMENT
71,50,98,2.75,2,3492.7,1,Beylikdüzü,1.0,62,SMALL_LOCAL_COMPONENT
60,50,100,1.72,0,0.0,0,,,63,QUESTIONABLE_FRAGMENT
210,50,98,0.72,1,0.0,1,Sarıyer,0.25,64,QUESTIONABLE_FRAGMENT
655,49,96,1.27,0,0.0,0,,,65,QUESTIONABLE_FRAGMENT
534,49,100,1.19,0,0.0,0,,,66,QUESTIONABLE_FRAGMENT
451,46,90,3.53,11,282.9,1,Başakşehir,3.75,67,SMALL_LOCAL_COMPONENT
320,45,90,1.01,1,2873.7,1,Ataşehir,0.25,68,SMALL_LOCAL_COMPONENT
537,45,90,0.73,1,366.0,1,Büyükçekmece,0.25,69,SMALL_LOCAL_COMPONENT
579,44,110,1.12,0,0.0,0,,,70,QUESTIONABLE_FRAGMENT
317,44,86,2.43,3,0.0,1,Sarıyer,1.0,71,QUESTIONABLE_FRAGMENT
634,44,94,0.32,0,0.0,0,,,72,QUESTIONABLE_FRAGMENT
356,43,86,1.14,0,0.0,0,,,73,QUESTIONABLE_FRAGMENT
656,43,86,0.52,0,0.0,0,,,74,QUESTIONABLE_FRAGMENT
672,43,86,0.81,0,0.0,0,,,75,QUESTIONABLE_FRAGMENT
435,42,84,0.66,0,0.0,0,,,76,QUESTIONABLE_FRAGMENT
342,42,92,2.28,3,1404.6,1,Başakşehir,0.75,77,SMALL_LOCAL_COMPONENT
515,42,90,1.49,0,0.0,0,,,78,QUESTIONABLE_FRAGMENT
