district,n_cells,pop_total,pct_walk_general_10min,pct_cycle_general_10min,pct_walk_fixed_15min,pct_cycle_fixed_15min,cycling_gap_closure_population_general_10min,transit_data_quality_class
Adalar,72,16032.999999999853,88.89,30.56,23.61,30.56,1139.9,USABLE_WITH_LIMITATION
Arnavutköy,1951,297771.1410504521,1.28,3.28,0.0,0.31,17626.0,SUSPECT_FEED_COVERAGE
Ataşehir,99,421284.43312304886,96.97,98.99,47.47,96.97,4180.2,GOOD_COVERAGE
Avcılar,205,441698.090827172,35.61,86.34,18.54,57.07,208607.1,GOOD_COVERAGE
Bahçelievler,68,584595.1087326803,11.76,70.59,25.0,92.65,353081.0,SUSPECT_FEED_COVERAGE
Bakırköy,127,224480.3892671711,37.01,85.83,59.84,91.34,119980.8,USABLE_WITH_LIMITATION
Bayrampaşa,38,277259.6734329764,65.79,97.37,89.47,97.37,91080.2,USABLE_WITH_LIMITATION
Bağcılar,91,758597.3554044811,50.55,97.8,70.33,100.0,363919.5,GOOD_COVERAGE
Başakşehir,428,465027.6734002198,26.17,51.64,21.03,62.15,140404.4,GOOD_COVERAGE
Beykoz,1281,248142.26121149538,39.03,74.24,0.0,0.94,34826.8,GOOD_COVERAGE
Beylikdüzü,171,366702.516873634,7.02,39.77,4.68,30.41,153844.1,SUSPECT_FEED_COVERAGE
Beyoğlu,41,226705.69113583476,65.85,100.0,68.29,100.0,89738.5,GOOD_COVERAGE
Beşiktaş,77,172861.55436259936,49.35,97.4,49.35,97.4,78327.5,GOOD_COVERAGE
Büyükçekmece,664,252071.16712104186,8.58,22.74,1.2,9.04,54767.6,SUSPECT_FEED_COVERAGE
Esenler,72,444821.8922515146,44.44,90.28,65.28,98.61,145922.6,USABLE_WITH_LIMITATION
Esenyurt,174,944657.9515440848,76.44,100.0,45.98,95.4,147792.2,GOOD_COVERAGE
Eyüpsultan,940,418816.11675535777,3.4,7.66,4.68,10.0,159640.7,SUSPECT_FEED_COVERAGE
Fatih,78,392297.22785675974,60.26,96.15,75.64,96.15,127781.9,GOOD_COVERAGE
Gaziosmanpaşa,46,473543.29563937074,47.83,97.83,71.74,100.0,214696.5,SUSPECT_FEED_COVERAGE
Güngören,27,282044.01189167344,59.26,100.0,85.19,100.0,106621.0,USABLE_WITH_LIMITATION
Kadıköy,111,477438.96007035405,77.48,100.0,85.59,100.0,83792.0,GOOD_COVERAGE
Kartal,161,479044.0503709845,74.53,96.89,48.45,76.4,57695.7,GOOD_COVERAGE
Kâğıthane,58,441321.57278323115,25.86,87.93,55.17,96.55,306550.7,SUSPECT_FEED_COVERAGE
Küçükçekmece,176,790814.4786054168,47.73,93.75,49.43,98.3,278382.8,GOOD_COVERAGE
Maltepe,220,512170.3739311806,60.91,93.18,33.18,69.55,38597.0,GOOD_COVERAGE
Pendik,783,721937.5191384428,34.99,69.86,7.41,16.22,39974.5,GOOD_COVERAGE
Sancaktepe,260,455488.97137987596,47.31,64.23,19.23,39.62,22513.0,GOOD_COVERAGE
Sarıyer,738,338811.98711988266,4.74,20.05,5.15,20.6,144033.7,SUSPECT_FEED_COVERAGE
Silivri,3491,200313.45914788588,0.0,0.0,0.0,0.0,0.0,NO_FEED_COVERAGE
Sultanbeyli,116,344361.6220101155,86.21,99.14,0.0,20.69,1680.3,GOOD_COVERAGE
Sultangazi,145,540412.2449020057,11.72,40.69,17.93,66.9,315043.9,SUSPECT_FEED_COVERAGE
Tuzla,534,274208.45342693606,52.81,84.64,12.55,22.1,32346.7,GOOD_COVERAGE
Zeytinburnu,50,284453.9775093428,56.0,98.0,86.0,98.0,114841.4,USABLE_WITH_LIMITATION
Çatalca,4612,74830.53170340454,0.0,0.0,0.0,0.0,0.0,NO_FEED_COVERAGE
Çekmeköy,607,275559.67812166887,29.65,63.76,5.27,16.8,38698.5,GOOD_COVERAGE
Ümraniye,182,709856.7125046897,84.62,98.35,48.9,93.41,49281.9,GOOD_COVERAGE
Üsküdar,148,525419.8585112711,76.35,100.0,41.22,86.49,138041.9,GOOD_COVERAGE
Şile,3237,37885.91882811017,14.92,42.63,0.0,0.0,9888.9,SUSPECT_FEED_COVERAGE
Şişli,43,261824.5360941566,60.47,100.0,88.37,100.0,108807.7,GOOD_COVERAGE
