access_point_id,stop_id,raw_stop_id,stop_name,mode,source_feed,district,in_system_a,in_system_b
main_18926__ferry,main_18926,18926,Anadolu Hisarı ŞH.,ferry,main_gtfs,Beykoz,True,False
main_18917__ferry,main_18917,18917,Çengelköy ŞH.,ferry,main_gtfs,Üsküdar,True,False
main_18939__ferry,main_18939,18939,Kadıköy-Beşiktaş-Adalar ŞH.,ferry,main_gtfs,Kadıköy,True,False
main_18908__ferry,main_18908,18908,Eminönü-Boğaz ŞH.,ferry,main_gtfs,Fatih,True,False
main_18920__ferry,main_18920,18920,Karaköy ŞH.,ferry,main_gtfs,Beyoğlu,True,False
main_18910__ferry,main_18910,18910,Beşiktaş-Üsküdar ŞH.,ferry,main_gtfs,Beşiktaş,True,False
main_18915__ferry,main_18915,18915,Yeni Kadıköy ŞH.,ferry,main_gtfs,Kadıköy,True,False
main_87063__ferry,main_87063,87063,İstinye ŞH.,ferry,main_gtfs,Sarıyer,True,False
main_272185__ferry,main_272185,272185,Aşiyan ŞH,ferry,main_gtfs,Beşiktaş,True,False
main_94867__ferry,main_94867,94867,Eminönü Camlı İskele ŞH.,ferry,main_gtfs,Fatih,True,False
main_18911__ferry,main_18911,18911,Heybeliada ŞH.,ferry,main_gtfs,Adalar,True,False
main_18940__ferry,main_18940,18940,Beşiktaş-Kadıköy ŞH.,ferry,main_gtfs,Beşiktaş,True,False
main_18927__ferry,main_18927,18927,Kuzguncuk ŞH.,ferry,main_gtfs,Üsküdar,True,False
main_18916__ferry,main_18916,18916,Ayvansaray ŞH.,ferry,main_gtfs,Fatih,True,False
main_18918__ferry,main_18918,18918,Kabataş ŞH.,ferry,main_gtfs,Beyoğlu,True,False
main_18950__ferry,main_18950,18950,Ortaköy ŞH.,ferry,main_gtfs,Beşiktaş,True,False
main_18921__ferry,main_18921,18921,Küçüksu ŞH.,ferry,main_gtfs,Beykoz,True,False
main_18951__ferry,main_18951,18951,Balat ŞH.,ferry,main_gtfs,Fatih,True,False
main_18928__ferry,main_18928,18928,Arnavutköy ŞH.,ferry,main_gtfs,Beşiktaş,True,False
main_18925__ferry,main_18925,18925,Kanlıca ŞH.,ferry,main_gtfs,Beykoz,True,False
main_18931__ferry,main_18931,18931,Eyüp ŞH.,ferry,main_gtfs,Eyüpsultan,True,False
main_18936__ferry,main_18936,18936,Eminönü-Kadıköy ŞH.,ferry,main_gtfs,Fatih,True,False
main_18943__ferry,main_18943,18943,Kasımpaşa ŞH.,ferry,main_gtfs,Beyoğlu,True,False
main_18934__ferry,main_18934,18934,Paşabahçe ŞH.,ferry,main_gtfs,Beykoz,True,False
main_18914__ferry,main_18914,18914,Beykoz ŞH.,ferry,main_gtfs,Beykoz,True,False
main_18944__ferry,main_18944,18944,Rumeli Kavağı ŞH.,ferry,main_gtfs,Sarıyer,True,False
main_18945__ferry,main_18945,18945,Çubuklu ŞH.,ferry,main_gtfs,Beykoz,True,False
main_18912__ferry,main_18912,18912,Kınalıada ŞH.,ferry,main_gtfs,Adalar,True,False
main_18946__ferry,main_18946,18946,Bebek ŞH.,ferry,main_gtfs,Beşiktaş,True,False
main_18932__ferry,main_18932,18932,Beylerbeyi ŞH.,ferry,main_gtfs,Üsküdar,True,False
main_18924__ferry,main_18924,18924,Anadolu Kavağı ŞH.,ferry,main_gtfs,Beykoz,True,False
main_87065__ferry,main_87065,87065,Çubuklu ŞH. (Arabalı Vapur),ferry,main_gtfs,Beykoz,True,False
main_18937__ferry,main_18937,18937,Emirgan ŞH.,ferry,main_gtfs,Sarıyer,True,False
main_18909__ferry,main_18909,18909,Üsküdar ŞH.,ferry,main_gtfs,Üsküdar,True,False
main_18948__ferry,main_18948,18948,Büyükada ŞH.,ferry,main_gtfs,Adalar,True,False
main_18952__ferry,main_18952,18952,Sarıyer ŞH.,ferry,main_gtfs,Sarıyer,True,False
main_18922__ferry,main_18922,18922,İstinye ŞH.,ferry,main_gtfs,Sarıyer,True,False
main_18935__ferry,main_18935,18935,Fener ŞH.,ferry,main_gtfs,Fatih,True,False
main_18913__ferry,main_18913,18913,Bostancı ŞH.,ferry,main_gtfs,Kadıköy,True,False
main_18930__ferry,main_18930,18930,Sütlüce ŞH.,ferry,main_gtfs,Beyoğlu,True,False
main_18942__ferry,main_18942,18942,Kandilli ŞH.,ferry,main_gtfs,Üsküdar,True,False
main_18929__ferry,main_18929,18929,Burgazada ŞH.,ferry,main_gtfs,Adalar,True,False
main_18919__ferry,main_18919,18919,Hasköy ŞH.,ferry,main_gtfs,Beyoğlu,True,False
main_214368__rail,main_214368,214368,Fatih,rail,main_gtfs,Tuzla,True,True
main_214385__rail,main_214385,214385,Pendik,rail,main_gtfs,Pendik,True,True
main_214376__rail,main_214376,214376,Küçükyalı,rail,main_gtfs,Maltepe,True,True
main_214355__rail,main_214355,214355,Mustafa Kemal,rail,main_gtfs,Küçükçekmece,True,True
main_214389__rail,main_214389,214389,Aydıntepe,rail,main_gtfs,Tuzla,True,True
