system,threshold_min,access_class,n_cells,pct_cells,population,pct_population
GENERAL,5,CYCLE_ONLY_TRANSIT_GAIN,2700,12.1,5467286.7,35.37
GENERAL,5,NEITHER_ACCESS,17581,78.76,4336204.9,28.06
GENERAL,5,WALK_AND_CYCLE_ACCESS,1988,8.91,5597869.2,36.22
GENERAL,5,WALK_ONLY_ACCESS,53,0.24,54204.7,0.35
FIXED,5,CYCLE_ONLY_TRANSIT_GAIN,1181,5.29,5456954.8,35.31
FIXED,5,NEITHER_ACCESS,20804,93.2,8155413.2,52.77
FIXED,5,WALK_AND_CYCLE_ACCESS,323,1.45,1792924.5,11.6
FIXED,5,WALK_ONLY_ACCESS,14,0.06,50273.1,0.33
GENERAL,10,CYCLE_ONLY_TRANSIT_GAIN,3369,15.09,4394148.8,28.43
GENERAL,10,NEITHER_ACCESS,15287,68.48,1718734.1,11.12
GENERAL,10,WALK_AND_CYCLE_ACCESS,3602,16.14,9279966.9,60.04
GENERAL,10,WALK_ONLY_ACCESS,64,0.29,62715.7,0.41
FIXED,10,CYCLE_ONLY_TRANSIT_GAIN,1638,7.34,6125219.8,39.63
FIXED,10,NEITHER_ACCESS,19699,88.25,4345909.0,28.12
FIXED,10,WALK_AND_CYCLE_ACCESS,974,4.36,4941406.5,31.97
FIXED,10,WALK_ONLY_ACCESS,11,0.05,43030.1,0.28
GENERAL,15,CYCLE_ONLY_TRANSIT_GAIN,3663,16.41,3025322.3,19.57
GENERAL,15,NEITHER_ACCESS,13848,62.04,1061475.9,6.87
GENERAL,15,WALK_AND_CYCLE_ACCESS,4760,21.32,11293997.4,73.07
GENERAL,15,WALK_ONLY_ACCESS,51,0.23,74769.9,0.48
FIXED,15,CYCLE_ONLY_TRANSIT_GAIN,1661,7.44,4801394.5,31.07
FIXED,15,NEITHER_ACCESS,19043,85.31,3005759.4,19.45
FIXED,15,WALK_AND_CYCLE_ACCESS,1601,7.17,7586498.8,49.09
FIXED,15,WALK_ONLY_ACCESS,17,0.08,61912.7,0.4
