district,bus,ferry,metro,metrobus,rail,tram,total_stops,area_km2,stops_per_km2,transit_data_quality_class
Adalar,0,9,0,0,0,0,9,11.354914787534492,0.793,USABLE_WITH_LIMITATION
Arnavutköy,16,0,0,0,0,0,16,479.31861142981415,0.033,SUSPECT_FEED_COVERAGE
Ataşehir,264,0,6,6,0,0,276,25.238100470969602,10.936,GOOD_COVERAGE
Avcılar,88,1,0,14,0,0,103,51.66859483127277,1.993,GOOD_COVERAGE
Bağcılar,22,0,8,23,0,1,54,22.26889588501045,2.425,GOOD_COVERAGE
Bahçelievler,0,0,1,0,0,2,3,16.63386088386939,0.18,SUSPECT_FEED_COVERAGE
Bakırköy,0,1,6,0,7,1,15,29.763057542298608,0.504,USABLE_WITH_LIMITATION
Başakşehir,151,0,8,6,2,0,167,106.72165798629099,1.565,GOOD_COVERAGE
Bayrampaşa,0,0,3,0,0,4,7,9.60850321695549,0.729,USABLE_WITH_LIMITATION
Beşiktaş,18,9,4,0,0,0,31,18.067150316921786,1.716,GOOD_COVERAGE
Beykoz,618,8,0,0,0,0,626,311.75240421758406,2.008,GOOD_COVERAGE
Beylikdüzü,10,0,0,3,0,0,13,38.23401363442146,0.34,SUSPECT_FEED_COVERAGE
Beyoğlu,5,7,2,2,0,4,20,8.92438861828363,2.241,GOOD_COVERAGE
Büyükçekmece,53,1,0,3,0,0,57,161.80984892803957,0.352,SUSPECT_FEED_COVERAGE
Çatalca,0,0,0,0,0,0,0,1138.4118696542255,0.0,NO_FEED_COVERAGE
Çekmeköy,234,0,1,8,0,0,243,152.09722714420755,1.598,GOOD_COVERAGE
Esenler,5,0,5,9,0,1,20,18.43041391294134,1.085,USABLE_WITH_LIMITATION
Esenyurt,201,0,0,64,0,0,265,43.077440456364805,6.152,GOOD_COVERAGE
Eyüpsultan,0,1,5,2,0,6,14,230.8362251201546,0.061,SUSPECT_FEED_COVERAGE
Fatih,11,9,7,0,2,13,42,16.248487223295655,2.585,GOOD_COVERAGE
Gaziosmanpaşa,0,0,3,0,0,3,6,11.761653763781908,0.51,SUSPECT_FEED_COVERAGE
Güngören,0,0,2,0,0,5,7,7.264213489297579,0.964,USABLE_WITH_LIMITATION
Kadıköy,141,7,7,0,7,10,172,25.117030500588204,6.848,GOOD_COVERAGE
Kâğıthane,0,0,3,3,0,0,6,14.615503720057543,0.411,SUSPECT_FEED_COVERAGE
Kartal,247,0,4,11,5,0,267,38.616388773385495,6.914,GOOD_COVERAGE
Küçükçekmece,153,0,1,50,5,0,209,44.27003128572463,4.721,GOOD_COVERAGE
Maltepe,211,0,6,11,4,0,232,53.94831024167541,4.3,GOOD_COVERAGE
Pendik,574,0,2,7,4,0,587,190.5745245915965,3.08,GOOD_COVERAGE
Sancaktepe,259,0,0,51,0,0,310,64.29475185870021,4.822,GOOD_COVERAGE
Sarıyer,0,5,7,0,0,0,12,175.97571692348424,0.068,SUSPECT_FEED_COVERAGE
Silivri,0,0,0,0,0,0,0,859.8548278802372,0.0,NO_FEED_COVERAGE
Sultanbeyli,185,0,0,0,0,0,185,29.053282014455426,6.368,GOOD_COVERAGE
Sultangazi,0,0,0,0,0,6,6,36.581200492733636,0.164,SUSPECT_FEED_COVERAGE
Şile,228,0,0,0,0,0,228,783.6261514967355,0.291,SUSPECT_FEED_COVERAGE
Şişli,18,0,7,2,0,0,27,10.646422935452524,2.536,GOOD_COVERAGE
Tuzla,455,0,0,33,8,0,496,125.2453951717895,3.96,GOOD_COVERAGE
Ümraniye,397,0,14,8,0,0,419,45.23510903035716,9.263,GOOD_COVERAGE
Üsküdar,308,8,8,17,1,0,342,35.357687558703944,9.673,GOOD_COVERAGE
Zeytinburnu,0,0,0,0,2,7,9,11.47404797148346,0.784,USABLE_WITH_LIMITATION
