cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
0,building_coverage_ratio,0.10900526267527008,0.09125959037857262,0.1263528955143124,0.03509330513573977,88.6,38.6
1,building_coverage_ratio,0.4233134668846723,0.3896741146062838,0.47157938767173213,0.08190527306544831,99.2,49.2
2,building_coverage_ratio,0.28525574089995026,0.2614001607142244,0.317190343160875,0.05579018244665063,96.7,46.7
3,building_coverage_ratio,0.18696513103620663,0.16731395587952014,0.20992278819299004,0.0426088323134699,93.0,43.0
4,building_coverage_ratio,0.0,0.0,0.0,0.0,32.6,17.4
5,building_coverage_ratio,0.04238147501410363,0.03124663077996844,0.056699409077134125,0.025452778297165683,83.3,33.3
6,building_coverage_ratio,0.0,0.0,0.0,0.0,32.6,17.4
0,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
1,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
2,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
3,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
4,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
5,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
6,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
0,university_count,0.0,0.0,0.0,0.0,49.7,0.3
1,university_count,0.0,0.0,0.0,0.0,49.7,0.3
2,university_count,0.0,0.0,0.0,0.0,49.7,0.3
3,university_count,0.0,0.0,0.0,0.0,49.7,0.3
4,university_count,0.0,0.0,0.0,0.0,49.7,0.3
5,university_count,0.0,0.0,0.0,0.0,49.7,0.3
6,university_count,0.0,0.0,0.0,0.0,49.7,0.3
0,school_count,0.0,0.0,1.0,1.0,46.3,3.7
1,school_count,1.0,0.0,2.0,2.0,94.8,44.8
2,school_count,1.0,0.0,2.0,2.0,94.8,44.8
3,school_count,0.0,0.0,1.0,1.0,46.3,3.7
4,school_count,0.0,0.0,0.0,0.0,46.3,3.7
5,school_count,0.0,0.0,0.0,0.0,46.3,3.7
6,school_count,0.0,0.0,0.0,0.0,46.3,3.7
0,healthcare_count,0.0,0.0,1.0,1.0,46.1,3.9
1,healthcare_count,3.0,1.0,6.0,5.0,97.0,47.0
2,healthcare_count,1.0,0.0,4.0,4.0,93.6,43.6
3,healthcare_count,0.0,0.0,2.0,2.0,46.1,3.9
4,healthcare_count,0.0,0.0,0.0,0.0,46.1,3.9
5,healthcare_count,0.0,0.0,0.0,0.0,46.1,3.9
6,healthcare_count,0.0,0.0,0.0,0.0,46.1,3.9
0,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
1,cafe_count,0.0,0.0,2.0,2.0,47.5,2.5
2,cafe_count,0.0,0.0,1.0,1.0,47.5,2.5
3,cafe_count,0.0,0.0,1.0,1.0,47.5,2.5
4,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
5,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
6,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
0,restaurant_count,0.0,0.0,1.0,1.0,46.6,3.4
1,restaurant_count,1.0,0.0,6.0,6.0,94.6,44.6
2,restaurant_count,1.0,0.0,3.0,3.0,94.6,44.6
3,restaurant_count,0.0,0.0,2.0,2.0,46.6,3.4
4,restaurant_count,0.0,0.0,0.0,0.0,46.6,3.4
5,restaurant_count,0.0,0.0,0.0,0.0,46.6,3.4
6,restaurant_count,0.0,0.0,0.0,0.0,46.6,3.4
0,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
1,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
2,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
3,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
4,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
5,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
6,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
0,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
1,supermarket_count,1.0,0.0,3.0,3.0,94.8,44.8
2,supermarket_count,1.0,0.0,3.0,3.0,94.8,44.8
3,supermarket_count,0.0,0.0,1.0,1.0,46.7,3.3
4,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
5,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
6,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
0,retail_count,0.0,0.0,1.0,1.0,45.3,4.7
1,retail_count,4.0,1.0,23.0,22.0,96.1,46.1
2,retail_count,2.0,0.0,13.0,13.0,94.4,44.4
3,retail_count,1.0,0.0,4.0,4.0,92.2,42.2
4,retail_count,0.0,0.0,0.0,0.0,45.3,4.7
5,retail_count,0.0,0.0,0.0,0.0,45.3,4.7
6,retail_count,0.0,0.0,0.0,0.0,45.3,4.7
0,office_count,0.0,0.0,1.0,1.0,46.8,3.2
1,office_count,1.0,0.0,3.0,3.0,95.2,45.2
