cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
0,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
1,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
2,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
3,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
4,hospital_count,0.0,0.0,0.0,0.0,49.3,0.7
0,university_count,0.0,0.0,0.0,0.0,49.7,0.3
1,university_count,0.0,0.0,0.0,0.0,49.7,0.3
2,university_count,0.0,0.0,0.0,0.0,49.7,0.3
3,university_count,0.0,0.0,0.0,0.0,49.7,0.3
4,university_count,0.0,0.0,0.0,0.0,49.7,0.3
0,school_count,0.0,0.0,1.0,1.0,46.3,3.7
1,school_count,0.0,0.0,0.0,0.0,46.3,3.7
2,school_count,0.0,0.0,1.0,1.0,46.3,3.7
3,school_count,1.0,0.0,2.0,2.0,94.8,44.8
4,school_count,0.0,0.0,0.0,0.0,46.3,3.7
0,healthcare_count,0.0,0.0,0.0,0.0,46.1,3.9
1,healthcare_count,0.0,0.0,0.0,0.0,46.1,3.9
2,healthcare_count,0.0,0.0,2.0,2.0,46.1,3.9
3,healthcare_count,4.0,1.0,6.0,5.0,97.8,47.8
4,healthcare_count,0.0,0.0,0.0,0.0,46.1,3.9
0,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
1,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
2,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
3,cafe_count,2.0,1.0,5.0,4.0,97.8,47.8
4,cafe_count,0.0,0.0,0.0,0.0,47.5,2.5
0,restaurant_count,0.0,0.0,0.0,0.0,46.6,3.4
1,restaurant_count,0.0,0.0,0.0,0.0,46.6,3.4
2,restaurant_count,0.0,0.0,1.0,1.0,46.6,3.4
3,restaurant_count,4.0,2.0,9.0,7.0,97.9,47.9
4,restaurant_count,0.0,0.0,0.0,0.0,46.6,3.4
0,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
1,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
2,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
3,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
4,bar_pub_count,0.0,0.0,0.0,0.0,49.7,0.3
0,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
1,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
2,supermarket_count,0.0,0.0,1.0,1.0,46.7,3.3
3,supermarket_count,2.0,1.0,5.0,4.0,96.9,46.9
4,supermarket_count,0.0,0.0,0.0,0.0,46.7,3.3
0,retail_count,0.0,0.0,1.0,1.0,45.3,4.7
1,retail_count,0.0,0.0,0.0,0.0,45.3,4.7
2,retail_count,0.0,0.0,3.0,3.0,45.3,4.7
3,retail_count,13.0,5.5,30.0,24.5,98.1,48.1
4,retail_count,0.0,0.0,0.0,0.0,45.3,4.7
0,office_count,0.0,0.0,0.0,0.0,46.8,3.2
1,office_count,0.0,0.0,0.0,0.0,46.8,3.2
2,office_count,0.0,0.0,1.0,1.0,46.8,3.2
3,office_count,2.0,1.0,4.0,3.0,97.4,47.4
4,office_count,0.0,0.0,0.0,0.0,46.8,3.2
0,tourism_count,0.0,0.0,0.0,0.0,47.7,2.3
1,tourism_count,0.0,0.0,0.0,0.0,47.7,2.3
2,tourism_count,0.0,0.0,0.0,0.0,47.7,2.3
3,tourism_count,0.0,0.0,1.0,1.0,47.7,2.3
4,tourism_count,0.0,0.0,0.0,0.0,47.7,2.3
0,leisure_count,2.0,1.0,5.0,4.0,88.8,38.8
1,leisure_count,0.0,0.0,0.0,0.0,41.3,8.7
2,leisure_count,2.0,0.0,5.0,5.0,88.8,38.8
3,leisure_count,4.0,2.0,7.0,5.0,93.0,43.0
4,leisure_count,0.0,0.0,0.0,0.0,41.3,8.7
0,poi_density_km2,20.0,8.0,40.0,32.0,87.4,37.4
1,poi_density_km2,0.0,0.0,0.0,0.0,38.6,11.4
