district,population_density_calibrated_km2_mean,population_density_calibrated_km2_median,building_coverage_ratio_mean,building_coverage_ratio_median,poi_density_km2_mean,poi_density_km2_median,distance_to_nearest_transit_m_mean,distance_to_nearest_transit_m_median,mean_slope_deg_mean,mean_slope_deg_median,cycle_infrastructure_density_km_per_km2_ibb_only_mean,cycle_infrastructure_density_km_per_km2_ibb_only_median
Adalar,1268.6529030561137,591.2802012230193,0.08311864683108783,0.043297321926116475,54.13557182404219,23.2820722097174,1665.3658743454646,1159.7698707539935,14.485781,14.76615,1.8876555548245741,0.3541678003663497
Arnavutköy,612.9140840878179,33.66547037645946,0.0064436544782297996,0.0,1.5764886965507918,0.0,14051.596106729683,13724.658850278935,6.5935836,6.1860123,0.04129473977712156,0.0
Ataşehir,17021.593257496923,18018.52014893437,0.22626364664232396,0.2234719131994646,108.16161616161617,64.0,222.60798784617975,194.060668457304,4.8331065,4.5304303,0.3607604947361262,0.0
Avcılar,8932.794348670555,2701.0401552026046,0.10041552361253288,0.024808677080873268,17.06673840903307,0.0,1003.1874746487294,907.7971095452682,3.71889,3.7253342,0.031247166984915177,0.0
Bahçelievler,34387.94757251061,42340.42154578584,0.20602516091112055,0.18525898998474635,44.94117647058823,32.0,1503.540858251666,1416.2420857807672,4.390546,4.534577,0.12534443929638972,0.0
Bakırköy,7472.9399819893915,6117.1938399639075,0.132658214994623,0.12068984934393726,46.08884424335429,30.207262826904735,761.417465629501,671.1073871044186,3.0197592,2.8169734,1.3679279918300689,0.0
Bayrampaşa,29185.22878241857,29582.35217090096,0.3282631412162889,0.3382253572415616,70.94736842105263,62.0,470.13938386029787,481.2646928737614,4.9738483,5.019449,0.0,0.0
Bağcılar,33344.93869909807,34473.624987504656,0.2683811887809416,0.27311372624527636,157.14285714285714,104.0,676.7137229809488,575.7111409481115,4.9522243,4.8226366,0.04928721049427368,0.0
Başakşehir,4346.053022431961,2268.092905446338,0.0709366824566815,0.030576317649243602,16.27102803738318,4.0,1683.5583968622354,1417.061148188067,6.748415,6.6748567,0.5870454864776954,0.0
Beykoz,811.3713486910443,0.0,0.015728736938300725,0.0,10.561661462215381,0.0,1064.6116660371113,721.5230852001588,10.784501,10.681514,0.18085247564924203,0.0
Beylikdüzü,8944.532512743559,6765.987199971694,0.07521613292495491,0.05273135716099567,20.082369311803824,8.0,2348.8656141911893,2321.8147775187726,4.8661523,4.6063857,0.7000857081482146,0.0
Beyoğlu,24987.74430978269,26143.17930749451,0.26341248294818764,0.24227020187371504,283.04725513080854,85.39499177319358,510.4811323042321,452.3541909573116,8.025715,8.426272,0.5278658911513431,0.0
Beşiktaş,9506.08420537744,9710.351335776904,0.13505209253060346,0.11711021965938134,88.8900425316111,48.0,580.9897331088271,533.9944970904346,8.633454,8.189379,0.17866826322063065,0.0
Büyükçekmece,1654.9026471699472,357.7785183717024,0.031066341511472948,0.0003630840349396259,11.473186306725697,0.0,5095.26895043564,4144.282060493224,4.247919,4.12618,0.20842412318183678,0.0
Esenler,24712.327347306367,25007.478835452974,0.2041689976468584,0.15241413547800944,25.38888888888889,18.0,730.1104854179849,634.8521846020376,4.889321,5.083123,0.4977941697383984,0.0
Esenyurt,21716.27474813988,20042.9543729949,0.16032882103220808,0.1044177265102157,23.35632183908046,12.0,403.5613538168644,304.09032310717555,5.07587,4.96754,0.2611288811824521,0.0
Eyüpsultan,1826.0067287339552,52.307460854684244,0.025051776787174688,0.0,6.680273781135602,0.0,10157.91989728299,10058.835618293688,7.8001537,7.2674904,0.15976852844015907,0.0
Fatih,21931.34209520612,23448.417715134536,0.29251303226112085,0.31378551455569015,598.3522663315146,486.0,531.8733899896289,483.2208492419169,4.6108255,4.6636777,1.1509914340136225,0.0
Gaziosmanpaşa,41177.67788168441,43236.15961361293,0.355720487155065,0.36860689239446204,77.47826086956522,44.0,749.6820716811877,621.0458978546253,7.210605,7.033876,0.10479715423553515,0.0
Güngören,41784.29805802569,43414.52191021613,0.3762434557383017,0.39458189967084617,57.48148148148148,52.0,515.329021372811,528.9383678969242,4.848774,5.0011473,0.3267687172807658,0.0
Kadıköy,18188.610689017896,18760.343920897656,0.2112288169737563,0.21327100910482924,231.19785098293394,160.0,383.5440929717796,257.5464906285827,4.040519,3.5435047,1.7912899487587344,0.0
Kartal,12406.442403337445,15240.512688728802,0.14426151477231638,0.1421751290796368,71.99544166601729,36.0,413.90305879470617,287.2990646057243,6.515214,5.0139346,0.8366074774361711,0.0
Kâğıthane,30435.970536774563,30906.204875763862,0.2183074107647667,0.2186986393821909,50.55172413793103,42.0,953.3147688228553,836.6094334656257,9.455947,9.226488,0.44496952652072147,0.0
Küçükçekmece,17995.441620277223,16058.27219123652,0.1503901454992833,0.12512881347242666,34.86014641293412,21.58095694445526,633.1381959997434,421.27011970095936,4.1693687,4.3236322,0.1702714663960743,0.0
Maltepe,9545.5632557142,6377.922324209307,0.12467277600588365,0.06808216178903193,47.381683313190486,14.0,479.54534316273595,366.13089819753486,7.484774,6.733423,0.5983677497517206,0.0
Pendik,3778.7330908074014,0.0,0.034975228680307696,0.0,16.049347994934585,0.0,1187.2504574219204,906.3411475625087,6.5087605,6.2065377,0.1604595544387029,0.0
Sancaktepe,7007.522636613477,3110.466014139539,0.10232340664377898,0.03288276467636593,20.153846153846153,0.0,1198.2317187706594,516.1787128688304,6.5938916,5.560526,0.11431185846865777,0.0
Sarıyer,1909.1999285996485,232.5807586637584,0.02485213578735882,0.0,18.76880311986082,0.0,4766.217859975039,4146.207437591662,10.43255,9.901575,0.16203358422349007,0.0
Silivri,246.19789696505663,0.0,0.005194549281505308,0.0,1.6559028789461752,0.0,37282.50351948952,38598.90484146393,4.093617,3.7113209,0.024460920418379974,0.0
Sultanbeyli,11874.538690003981,11653.759825340065,0.1733124759021298,0.18148490781575635,95.6896551724138,44.0,335.35258674975967,261.04061991678714,6.741813,5.385324,0.025521622566623187,0.0
Sultangazi,14907.923997296708,7194.497726522129,0.14418880886834154,0.045873622487224874,36.46896551724138,4.0,2105.4051699576903,2089.6687365614866,9.719959,8.794708,0.077596459060905,0.0
Tuzla,2203.3245458160627,1036.88851260448,0.06698218809756976,0.022011741493147708,20.65331572959521,0.0,577.8575360953632,460.03855284372776,4.952255,4.7133975,0.07277727124224753,0.0
Zeytinburnu,23500.644479362363,24554.569745094785,0.26944986868430126,0.2561097426438165,224.77229384285533,122.0,524.4816351313349,486.1605585199128,3.867816,3.8771553,3.778065176148671,4.084462679680887
Çatalca,65.29866170323375,0.0,0.0010400700167539436,0.0,0.4298221722606159,0.0,33607.75633940966,32677.354443326054,7.4906673,6.870798,0.0014983173105093965,0.0
Çekmeköy,1815.8792627457585,26.897446868974484,0.02363266270286953,0.0,11.598023064250413,0.0,1277.275818546691,1140.5825501851366,8.349028,8.330682,0.020671817245699248,0.0
Ümraniye,15601.246428674498,15011.29791979035,0.18863858712151219,0.18724844628651427,47.53846153846154,24.0,295.7995559602029,214.2289390417912,5.844921,5.038768,0.09164955314148655,0.0
Üsküdar,15137.927394160182,15223.112698531337,0.1647996059178098,0.15094629756119365,66.28036827695513,49.275652777531135,313.2558568248917,218.91644299736384,8.29436,7.9973373,0.4046301683557504,0.0
Şile,49.497061467662164,0.0,0.0017526766666362554,0.0,1.5085687573365958,0.0,2651.2500238911784,1944.7872500803894,11.209155,10.732723,0.002171632779673477,0.0
Şişli,24355.770799456426,25821.87158567526,0.22486348207304266,0.18777541170795342,147.90697674418604,100.0,549.6808884026273,518.7590859943352,7.38804,7.1930304,0.0,0.0
