feature,n_valid,n_missing,min,p5,p25,median,p75,p95,max,mean,std,iqr,zero_prevalence_pct,skewness,n_unique,flag_extreme_skew,flag_near_zero_variance,flag_very_sparse
building_count,22322,0,0.0,0.0,0.0,0.0,4.0,226.95000000000073,1340.0,33.270226682196935,107.73655078025672,4.0,66.11,4.857,704,True,False,False
mean_building_footprint_m2_valid_only,7566,14756,1.6327107785406383,54.09245614159644,142.29890704661324,234.2499396469871,456.19100092640946,2056.199393675344,108205.07087154,588.9845199452529,1916.2045678053103,313.8920938797962,0.0,27.906,7566,True,False,False
building_footprint_area_m2,22322,0,0.0,0.0,0.0,0.0,1267.5130264031484,58433.96227709228,168868.7181720767,8038.337495264569,20806.882047546547,1267.5130264031484,65.17,3.228,7776,True,False,False
building_coverage_ratio,22322,0,0.0,0.0,0.0,0.0,0.005344391262458158,0.23725809597142655,0.6754748726883069,0.03302270440232423,0.08421722150847927,0.005344391262458158,65.17,3.157,7776,True,False,False
hospital_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.018322730938087985,0.17215120664231148,0.0,98.56,13.545,7,True,False,True
university_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.007123017650748141,0.1374773588673235,0.0,99.47,42.623,7,True,False,True
school_count,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.12409282322372547,0.5228638695037633,0.0,92.51,5.969,11,True,False,True
healthcare_count,22322,0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,0.26023653794462864,1.2981514420105087,0.0,92.24,9.219,26,True,False,True
cafe_count,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,0.18685601648597797,1.6615359583072642,0.0,94.93,21.659,41,True,False,True
restaurant_count,22322,0,0.0,0.0,0.0,0.0,0.0,1.0,140.0,0.3514470029567243,2.848487182454931,0.0,93.22,20.093,59,True,False,True
bar_pub_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.019711495385718127,0.4988821760343093,0.0,99.37,50.218,17,True,False,True
