redundancy_group_id,members,n_members,recommended_representative,recommended_to_drop,rationale
protected_cycleway_density_km_per_km2_ibb_only,"protected_cycleway_density_km_per_km2_ibb_only, protected_cycleway_length_km_ibb_only",2,protected_cycleway_density_km_per_km2_ibb_only,protected_cycleway_length_km_ibb_only,"High Spearman correlation (|rho|>=0.90) among these features; 'protected_cycleway_density_km_per_km2_ibb_only' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
cycle_infrastructure_density_km_per_km2_ibb_only,"cycle_infrastructure_density_km_per_km2_ibb_only, cycle_infrastructure_length_km_ibb_only",2,cycle_infrastructure_density_km_per_km2_ibb_only,cycle_infrastructure_length_km_ibb_only,"High Spearman correlation (|rho|>=0.90) among these features; 'cycle_infrastructure_density_km_per_km2_ibb_only' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
building_coverage_ratio,"building_count, building_coverage_ratio, building_footprint_area_m2",3,building_coverage_ratio,"building_count, building_footprint_area_m2","High Spearman correlation (|rho|>=0.90) among these features; 'building_coverage_ratio' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
poi_category_count,"poi_category_count, poi_density_km2, total_poi_count",3,poi_density_km2,"poi_category_count, total_poi_count","High Spearman correlation (|rho|>=0.90) among these features; 'poi_density_km2' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
population_density_calibrated_km2,"population_calibrated, population_density_calibrated_km2, population_density_worldpop_raw_km2, population_worldpop_raw",4,population_density_calibrated_km2,"population_calibrated, population_density_worldpop_raw_km2, population_worldpop_raw","High Spearman correlation (|rho|>=0.90) among these features; 'population_density_calibrated_km2' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
min_elevation_m,"max_elevation_m, mean_elevation_m, median_elevation_m, min_elevation_m",4,mean_elevation_m,"max_elevation_m, median_elevation_m, min_elevation_m","High Spearman correlation (|rho|>=0.90) among these features; 'mean_elevation_m' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
bus_departures_per_day,"bus_departures_per_day, bus_stop_count, routes_serving_grid, total_transit_stop_count, unique_bus_routes",5,bus_departures_per_day,"bus_stop_count, routes_serving_grid, total_transit_stop_count, unique_bus_routes","High Spearman correlation (|rho|>=0.90) among these features; 'bus_departures_per_day' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
bus_stops_within_500m,"bus_stops_within_500m, number_of_transit_modes_accessible, transit_stops_within_500m",3,transit_stops_within_500m,"bus_stops_within_500m, number_of_transit_modes_accessible","High Spearman correlation (|rho|>=0.90) among these features; 'transit_stops_within_500m' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
pct_area_slope_lt_3deg,"elevation_range_m, elevation_std_m, max_slope_deg, mean_slope_deg, median_slope_deg, pct_area_slope_gt_10deg, pct_area_slope_lt_3deg, slope_std_deg",8,mean_slope_deg,"elevation_range_m, elevation_std_m, max_slope_deg, median_slope_deg, pct_area_slope_gt_10deg, pct_area_slope_lt_3deg, slope_std_deg","High Spearman correlation (|rho|>=0.90) among these features; 'mean_slope_deg' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
distance_to_nearest_transit_m,"distance_to_nearest_bus_stop_m, distance_to_nearest_transit_m",2,distance_to_nearest_transit_m,distance_to_nearest_bus_stop_m,"High Spearman correlation (|rho|>=0.90) among these features; 'distance_to_nearest_transit_m' retained as the most interpretable/normalized representative of this group based on feature semantics, not correlation strength alone."
