grid_id,district,population_density_calibrated_km2,poi_density_km2,poi_entropy,retail_count,leisure_count,has_buildings,building_coverage_ratio,distance_to_nearest_transit_m,transit_stops_within_500m,bus_departures_per_day,cycle_infrastructure_density_km_per_km2_ibb_only,distance_to_nearest_bicycle_parking_m,distance_to_nearest_micromobility_parking_m,mean_slope_deg,opportunity_pct_top_decile,readiness_pct_top_decile,readiness_consensus_class
GRID_00137,Silivri,894.3985008028649,12.0,1.584962500721156,1,1,1,0.004963477424244568,47889.276559907805,0,0,0.0,45692.37100159003,54308.41857939304,2.5068872,100.0,0.0,NEVER_HIGH
GRID_00172,Silivri,472.76410382889804,36.0,0.5032583347756457,1,0,1,0.10692971867586502,47235.781480507256,0,0,0.0,45006.86488203016,53673.55314564444,1.8828626,100.0,0.0,NEVER_HIGH
GRID_00175,Silivri,1002.3667359889083,16.0,0.8112781244591328,0,3,1,0.003167638955158548,47484.6585119627,0,0,0.0,45309.12547791079,53890.38038459819,2.6592364,100.0,0.0,NEVER_HIGH
GRID_00201,Silivri,901.4771089733548,10.507301614314601,1.0,0,1,0,0.0,46235.74817748346,0,0,0.0,43829.92322217078,52650.22120967987,3.9063227,100.0,0.0,NEVER_HIGH
GRID_00394,Silivri,1176.5777268879583,8.0,1.0,1,0,1,0.010022110612220959,44274.80298390061,0,0,0.0,41902.78195230523,50699.94498267893,4.5801735,100.0,0.0,NEVER_HIGH
GRID_00403,Silivri,40.44385257819044,8.0,1.0,1,0,1,0.00903704086614676,44765.82854179793,0,0,0.0,42552.791101567855,51196.907013050506,1.3891457,100.0,0.0,NEVER_HIGH
GRID_00494,Silivri,1120.2275906517743,8.0,1.0,1,1,1,0.07439699553187216,43309.585941468824,0,0,0.0,40957.19287223462,49739.39021245489,2.8248055,100.0,0.0,NEVER_HIGH
GRID_00772,Silivri,1073.15265256711,24.0,1.9182958340544896,2,1,1,0.0018604488444781309,41230.88630144083,0,0,0.0,39023.215873970694,47661.420627310705,3.8610501,100.0,0.0,NEVER_HIGH
GRID_00839,Silivri,172.93451848271,8.0,1.0,0,1,1,0.016738741248628772,40587.21754253719,0,0,0.0,38342.359029002015,47026.080651771306,3.0909715,100.0,0.0,NEVER_HIGH
GRID_00840,Silivri,863.6548504416332,8.0,1.0,0,1,1,0.0006704146021869906,40659.31801960937,0,0,0.0,38434.82991936013,47097.145844059894,4.3830066,100.0,0.0,NEVER_HIGH
GRID_00841,Silivri,307.67153150803244,16.0,1.5,0,2,1,0.006354723057817388,40737.42819317665,0,0,0.0,38533.56726221164,47166.12214770805,5.506255,100.0,0.0,NEVER_HIGH
GRID_00923,Silivri,175.3454488173086,8.0,1.0,0,1,0,0.0,40517.451404420615,0,0,0.0,38381.756080461,46902.93447302339,4.1556487,100.0,0.0,NEVER_HIGH
GRID_00973,Çatalca,3862.623284122516,48.0,2.084962500721156,4,4,1,0.1057055826250438,49989.33735095115,0,0,0.0,50652.16629999574,56782.22098802528,2.4332001,100.0,0.0,NEVER_HIGH
GRID_01002,Silivri,1152.7310723502706,20.0,1.3709505944546687,0,1,1,0.0025803050216134833,39467.841859924636,0,0,0.0,37188.52031845495,45906.51504261501,1.0420017,100.0,0.0,NEVER_HIGH
GRID_01059,Çatalca,1787.282433296935,20.0,1.9219280948873623,1,0,1,0.07004528303990872,49539.13956375208,0,0,0.0,50285.84671343711,56375.993849971426,2.0396307,100.0,0.0,NEVER_HIGH
GRID_01188,Silivri,1013.7331897722712,16.0,1.0,2,0,1,0.10084109643222554,38607.38932138214,0,0,0.0,36376.28638451669,45045.74925570413,2.1163347,100.0,0.0,NEVER_HIGH
GRID_01196,Silivri,867.9700255782687,12.0,0.9182958340544896,1,0,1,0.009411667376047771,39387.73694957244,0,0,0.0,37336.73059198356,45713.144394004354,4.3492174,100.0,0.0,NEVER_HIGH
GRID_01197,Silivri,241.57674394697915,8.0,1.0,1,0,1,0.0018473632064187322,39512.67816768698,0,0,0.0,37485.078448892295,45819.51852158789,3.9233506,100.0,0.0,NEVER_HIGH
GRID_01223,Silivri,935.6674822672413,8.0,1.0,1,1,1,0.06303466077695977,44643.67255636593,0,0,0.0,43234.50169566047,50280.04240043246,4.2225065,100.0,0.0,NEVER_HIGH
GRID_01224,Silivri,2454.193616606539,20.0,0.9709505944546686,2,0,1,0.11967150486555354,44904.5143977141,0,0,0.0,43518.06282330724,50510.586721521366,3.3336222,100.0,0.0,NEVER_HIGH
GRID_01294,Silivri,415.69877250376453,8.0,1.0,0,1,1,0.053413982437735014,38042.40616509637,0,0,0.0,35793.281281715375,44481.42822519572,4.0376587,100.0,0.0,NEVER_HIGH
GRID_01330,Silivri,247.58172344905535,12.0,0.9182958340544896,0,2,1,0.013694739583761087,44216.6209689513,0,0,0.0,42822.267171145184,49835.87789964539,7.998267,100.0,0.0,NEVER_HIGH
GRID_01753,Silivri,3091.738714516698,8.0,1.0,1,1,1,0.0002244047228725097,36216.691968575506,0,0,0.0,34028.75269788735,42640.29703744064,3.3825686,100.0,0.0,NEVER_HIGH
GRID_01798,Silivri,3585.189557176078,16.0,2.0,1,0,1,0.05786131728627896,44495.69621546137,0,0,0.0,44664.75664469866,50929.82185103498,6.3145785,100.0,0.0,NEVER_HIGH
GRID_02228,Silivri,752.145989335067,12.0,0.9182958340544896,0,2,0,0.0,37137.00883255918,0,0,0.0,35481.645548046065,43096.642752020955,1.4691958,100.0,0.0,NEVER_HIGH
GRID_02340,Silivri,124.03390017023968,8.0,1.0,1,1,0,0.0,36683.913308444375,0,0,0.0,35042.425709446085,42630.41964060872,4.6348605,100.0,0.0,NEVER_HIGH
GRID_02374,Silivri,3182.8418345076834,16.0,1.5,1,0,1,0.05863240854510574,43977.671435923374,0,0,0.0,45104.53170062969,51311.799055167634,2.6215549,100.0,0.0,NEVER_HIGH
GRID_02506,Çatalca,2380.8070150447443,8.0,1.0,1,0,1,0.0010912478061037114,49498.93035965807,0,0,0.0,51107.564577824756,58188.5180679222,2.9267988,100.0,0.0,NEVER_HIGH
GRID_02507,Çatalca,9964.53169390237,44.0,2.413088436425758,1,3,1,0.021545806399349915,49820.12514735023,0,0,0.0,51446.97382906265,58558.8621995335,3.4825413,100.0,0.0,NEVER_HIGH
GRID_02618,Çatalca,15765.030716409694,60.0,2.1492553971684996,5,0,1,0.008661434187128184,49439.22905575435,0,0,0.0,51082.172549582865,58225.18702711938,4.118831,100.0,0.0,NEVER_HIGH
GRID_02823,Çatalca,717.7797132181448,8.0,1.0,0,1,1,0.01560152064151009,46140.180601162436,0,0,0.0,47661.50597794535,54606.25304410505,3.2693985,100.0,0.0,NEVER_HIGH
GRID_02929,Çatalca,1396.8401499455326,36.0,2.4193819456463714,3,0,1,0.044403193513804756,45745.040887921314,0,0,0.0,47283.362700878424,54262.09481540415,5.336256,100.0,0.0,NEVER_HIGH
GRID_03171,Çatalca,0.0,35.20177805035142,1.4591479170272448,3,0,1,0.009551200633607742,56774.61345874053,0,0,0.0,58846.50441061518,64284.842294069735,1.7160666,100.0,0.0,NEVER_HIGH
GRID_03236,Çatalca,53.42187123337922,8.0,1.0,0,1,1,0.008467149253574233,43336.8574522574,0,0,0.0,44841.67994831596,51778.60843843686,4.136803,100.0,0.0,NEVER_HIGH
