score_type,variant_a,variant_b,spearman_rho
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T1__uf_tr,0.9993
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T2__uf_sat,0.9885
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T2__uf_tr,0.9859
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T1__uf_sat,1.0
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T1__uf_tr,0.9993
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T2__uf_sat,0.9885
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T2__uf_tr,0.9859
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9841
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.983
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.971
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.969
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9539
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9539
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.8971
readiness,readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.8985
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__balanced_equal_dimensions__T2__uf_sat,0.9882
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__balanced_equal_dimensions__T2__uf_tr,0.9876
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__demand_oriented__T1__uf_sat,0.9993
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__demand_oriented__T1__uf_tr,1.0
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__demand_oriented__T2__uf_sat,0.9882
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__demand_oriented__T2__uf_tr,0.9876
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9845
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9844
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.9714
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.971
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9545
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9551
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.898
readiness,readiness__balanced_equal_dimensions__T1__uf_tr,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.9006
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__balanced_equal_dimensions__T2__uf_tr,0.9982
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__demand_oriented__T1__uf_sat,0.9885
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__demand_oriented__T1__uf_tr,0.9882
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__demand_oriented__T2__uf_sat,1.0
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__demand_oriented__T2__uf_tr,0.9982
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9816
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.9807
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.984
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.9829
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9475
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9477
readiness,readiness__balanced_equal_dimensions__T2__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.9343
