variant_a,variant_b,jaccard_top_decile
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T1__uf_tr,0.8229
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T2__uf_sat,0.4552
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T2__uf_tr,0.378
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T1__uf_sat,1.0
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T1__uf_tr,0.8229
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T2__uf_sat,0.4552
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T2__uf_tr,0.378
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.8671
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.8008
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.4862
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.4191
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.7687
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.7418
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.2054
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.2009
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_sat,0.3347
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__balanced_equal_dimensions__demand_tr,0.299
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__demand_oriented__demand_sat,0.3737
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__demand_oriented__demand_tr,0.3533
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_sat,0.2293
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__infrastructure_readiness_oriented__demand_tr,0.1703
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_sat,0.3347
readiness__balanced_equal_dimensions__T1__uf_sat,opportunity__first_last_mile_transit_integration_oriented__demand_tr,0.299
readiness__balanced_equal_dimensions__T1__uf_tr,readiness__balanced_equal_dimensions__T2__uf_sat,0.4434
readiness__balanced_equal_dimensions__T1__uf_tr,readiness__balanced_equal_dimensions__T2__uf_tr,0.4115
