district,n_cells,pct_readiness_robust_or_frequent,pct_opportunity_robust_or_frequent,median_readiness_consensus_pct,median_opportunity_consensus_pct,median_readiness_uncertainty_range,median_opportunity_uncertainty_range
Adalar,72,6.944444444444445,12.5,28.125,0.0,0.10353860900661133,0.13409899257154512
Arnavutköy,1951,0.7175807278318811,3.3828805740645826,0.0,0.0,0.1513547818163241,0.12879578439091766
Ataşehir,99,38.38383838383838,45.45454545454545,62.5,50.0,0.1858282998976558,0.24503830636307966
Avcılar,205,6.341463414634147,23.902439024390244,12.5,0.0,0.11522753509542882,0.13161278907927487
Bahçelievler,68,23.52941176470588,36.76470588235294,50.0,37.5,0.09842929146621965,0.1638425998305106
Bakırköy,127,83.46456692913385,12.598425196850393,100.0,0.0,0.13204912832449922,0.1662280909662578
Bayrampaşa,38,7.894736842105263,76.31578947368422,50.0,100.0,0.13868825291603953,0.24576532523249267
Bağcılar,91,18.681318681318682,68.13186813186813,50.0,87.5,0.10507176362193515,0.24268174460020842
Başakşehir,428,21.49532710280374,10.046728971962617,12.5,0.0,0.14034664306653044,0.13376251238413928
Beykoz,1281,2.966432474629196,4.059328649492584,0.0,0.0,0.15605647026903047,0.0
Beylikdüzü,171,23.391812865497073,11.695906432748536,50.0,0.0,0.13640226288518198,0.13741735698099733
Beyoğlu,41,24.390243902439025,56.09756097560976,31.25,75.0,0.1367958045543537,0.24798522264481848
Beşiktaş,77,15.584415584415584,72.72727272727273,12.5,87.5,0.10272636322958628,0.22938745069951583
Büyükçekmece,664,5.72289156626506,3.7650602409638556,0.0,0.0,0.1489497005431591,0.08333845225274569
Esenler,72,25.0,18.055555555555554,40.625,0.0,0.12820250495691396,0.15507589047989
Esenyurt,174,22.413793103448278,33.90804597701149,50.0,0.0,0.12348697035515027,0.14191585471159285
Eyüpsultan,940,2.3404255319148937,4.680851063829787,0.0,0.0,0.15958081873880078,0.1325672476291221
Fatih,78,37.17948717948718,58.97435897435898,56.25,75.0,0.14940618131366468,0.2561578558045944
Gaziosmanpaşa,46,10.869565217391305,60.86956521739131,25.0,100.0,0.10184300028257931,0.24083810966458724
Güngören,27,48.148148148148145,48.148148148148145,68.75,37.5,0.14920616767886452,0.24607232909090992
Kadıköy,111,57.65765765765766,56.75675675675676,87.5,75.0,0.2121270734143298,0.25275075670581604
Kartal,161,27.32919254658385,54.037267080745345,50.0,75.0,0.1531953328926643,0.20475404555843302
Kâğıthane,58,20.689655172413794,39.6551724137931,6.25,12.5,0.0940531151515403,0.23973953524162517
Küçükçekmece,176,18.75,35.79545454545455,50.0,37.5,0.1152602015767662,0.1513413601376861
Maltepe,220,9.545454545454547,35.90909090909091,12.5,0.0,0.142725760922622,0.14673586602753053
Pendik,783,9.83397190293742,14.687100893997446,0.0,0.0,0.17088757970962715,0.025400577758068477
Sancaktepe,260,33.46153846153846,21.153846153846153,28.125,0.0,0.1343726693908152,0.11993119724234458
Sarıyer,738,4.200542005420054,11.246612466124661,0.0,0.0,0.15641039253177264,0.06978789134389021
Silivri,3491,0.2578057863076483,3.953022056717273,0.0,0.0,0.08517408169970203,0.0
Sultanbeyli,116,31.896551724137932,64.65517241379311,50.0,93.75,0.10857311620963062,0.14392609052111827
Sultangazi,145,6.896551724137931,33.10344827586207,12.5,0.0,0.11483153834543203,0.14304880716701715
Tuzla,534,9.176029962546817,20.037453183520597,9.375,0.0,0.13660838191066105,0.12901388273552888
Zeytinburnu,50,82.0,16.0,93.75,0.0,0.15705449120897536,0.2635612270540184
Çatalca,4612,0.06504770164787511,1.4310494362532522,0.0,0.0,0.10590815222889202,0.0
Çekmeköy,607,5.107084019769357,9.390444810543658,0.0,0.0,0.18428875592265026,0.030037516743860793
Ümraniye,182,29.67032967032967,35.714285714285715,53.125,0.0,0.15931761291389768,0.16150121446354151
Üsküdar,148,10.81081081081081,44.5945945945946,50.0,50.0,0.17870436508403298,0.21735101127597972
Şile,3237,0.0,2.162496138399753,0.0,0.0,0.1113612431225145,0.0
Şişli,43,0.0,81.3953488372093,25.0,100.0,0.1063832946683978,0.24287802562679106
