variant_a,variant_b,spearman_rho,jaccard_top_decile,mean_abs_score_diff,mean_rank_displacement,top_decile_entries_b_not_a,top_decile_exits_a_not_b,differing_factors,n_differing_factors,score_type
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T1__uf_tr,0.9993,0.8229,0.006,0.0052,217,217,uf_variant,1,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T2__uf_sat,0.9885,0.4552,0.0409,0.03,836,836,transit_variant,1,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__balanced_equal_dimensions__T2__uf_tr,0.9859,0.378,0.0418,0.0326,1008,1008,"transit_variant,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T1__uf_sat,1.0,1.0,0.0,0.0,0,0,scenario,1,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T1__uf_tr,0.9993,0.8229,0.006,0.0052,217,217,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T2__uf_sat,0.9885,0.4552,0.0409,0.03,836,836,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__demand_oriented__T2__uf_tr,0.9859,0.378,0.0418,0.0326,1008,1008,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_sat,0.9539,0.7687,0.0406,0.0553,292,292,scenario,1,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T1__uf_tr,0.9539,0.7418,0.0402,0.0553,331,331,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_sat,0.8971,0.2054,0.0974,0.0976,1472,1472,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__first_last_mile_transit_integration_oriented__T2__uf_tr,0.8985,0.2009,0.0974,0.0967,1486,1486,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_sat,0.9841,0.8671,0.0312,0.0326,159,159,scenario,1,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T1__uf_tr,0.983,0.8008,0.03,0.0339,247,247,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_sat,0.971,0.4862,0.0379,0.0496,772,772,"scenario,transit_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_sat,readiness__infrastructure_readiness_oriented__T2__uf_tr,0.969,0.4191,0.037,0.0513,914,914,"scenario,transit_variant,uf_variant",3,readiness
readiness__balanced_equal_dimensions__T1__uf_tr,readiness__balanced_equal_dimensions__T2__uf_sat,0.9882,0.4434,0.0409,0.03,861,861,"transit_variant,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_tr,readiness__balanced_equal_dimensions__T2__uf_tr,0.9876,0.4115,0.0409,0.0309,931,931,transit_variant,1,readiness
readiness__balanced_equal_dimensions__T1__uf_tr,readiness__demand_oriented__T1__uf_sat,0.9993,0.8229,0.006,0.0052,217,217,"scenario,uf_variant",2,readiness
readiness__balanced_equal_dimensions__T1__uf_tr,readiness__demand_oriented__T1__uf_tr,1.0,1.0,0.0,0.0,0,0,scenario,1,readiness
